GEOID,fips_state,fips_county,fips_subdivision,subdivision_name,total_pop,elderly_pop,pct_elderly,geometry
5001773675,50,017,73675,"Tunbridge town, Orange County, Vermont",1337,189,14.136125654450263,"list(c(494016.737429467, 494092.503990343, 494433.213647976, 494576.149660252, 495282.028829594, 495285.934385009, 495871.918488688, 495992.101737597, 497544.728565381, 497840.537493923, 499156.258961455, 499174.399622345, 499174.961489004, 502990.188795998, 503124.600064442, 503378.772638706, 503460.76596529, 504173.603879464, 504231.020160434, 504402.026368401, 504614.789764383, 505800.310614481, 507369.375973027, 508495.628676227, 508275.471929445, 507839.731265919, 504841.537766606, 504704.80058875, 
503255.527182097, 499481.971511738, 496565.231740643, 495431.947085029, 494409.145378513, 494366.234823256, 494090.733092313, 494016.737429467, 152571.233339518, 152542.055801591, 153409.610225505, 153863.804682312, 155352.533496788, 155421.861087603, 156438.205839086, 156727.564728333, 159696.138070695, 160280.5696612, 162848.407665112, 162883.070953982, 162884.070852504, 161204.415910709, 161118.369740655, 161046.05248481, 160976.208295584, 160685.628879808, 160655.444107494, 160627.556450008, 
160467.262297538, 159948.545220702, 159240.351153137, 158754.27160945, 158349.452522975, 157611.617678762, 151819.672561515, 151487.36831952, 148651.757558709, 150252.563413304, 151487.812844765, 151969.138387622, 152407.565942048, 152419.490511551, 152539.05751732, 152571.233339518))"
5000975175,50,009,75175,"Victory town, Essex County, Vermont",70,19,27.142857142857142,"list(c(546966.722402782, 547619.988017878, 547805.70491088, 548388.91624089, 551107.467403678, 552170.968303055, 554902.088235556, 556197.420809675, 556824.397349129, 559794.189620198, 563013.393083625, 559731.499263568, 558051.546718693, 555994.55562937, 553038.955950433, 551454.69500099, 551394.383249682, 551167.913298574, 550800.92553948, 549739.649828079, 548894.436015558, 547369.431329092, 546966.722402782, 227691.456822562, 228539.212674126, 228804.834344169, 229642.155135459, 233185.166225698, 
234759.761405746, 232931.723983723, 231886.332967316, 231417.837217908, 229239.862183061, 226818.036799699, 225034.184531572, 224144.15749908, 223001.057842334, 221055.906627078, 222228.549399709, 222292.080372061, 221973.698738818, 222401.763281294, 223857.514436664, 225102.253638189, 227150.315947507, 227691.456822562))"
5000902162,50,009,02162,"Avery's gore, Essex County, Vermont",0,0,NA,"list(c(551630.171508786, 556994.742653242, 557547.51873465, 557884.042097931, 558290.997776571, 558845.554054782, 557864.612132419, 555046.132736914, 554780.908987221, 554071.423104006, 553962.354050487, 553414.262612547, 552727.444926863, 550693.966937854, 551630.171508786, 271974.320037335, 272174.432894405, 272147.705793592, 272156.853051513, 272118.981771095, 272166.177225636, 270569.214275669, 265864.275803652, 265469.257777971, 264291.668111072, 264181.728053845, 263233.622152928, 261813.891072939, 
263330.247787082, 271974.320037335))"
5000159650,50,001,59650,"Ripton town, Addison County, Vermont",739,145,19.621109607577807,"list(c(454852.030219017, 457345.807603615, 457306.160027854, 463213.289075687, 463221.597313509, 467464.547232988, 467289.135320341, 466921.61811071, 464196.796169182, 461425.542730805, 456812.292027859, 455964.541409304, 455942.997196272, 456182.804522853, 456141.536807657, 456155.730134996, 456200.472560827, 455207.292304365, 455148.297755528, 454852.030219017, 171483.43722308, 171779.648397692, 170840.992275311, 170518.900365366, 170816.191250948, 170777.155811945, 163554.684657505, 162895.847107767, 
163871.016152001, 158082.578328359, 158208.233545191, 158137.251520701, 159282.514422999, 160090.043498405, 161194.105544686, 161956.020575424, 162823.069195044, 162665.375669692, 163754.681708309, 171483.43722308))"
5000108575,50,001,08575,"Bridport town, Addison County, Vermont",1225,284,23.183673469387756,"list(c(426786.611415849, 426899.752741392, 427351.537246244, 427355.564932618, 427251.180017211, 428032.669958295, 428705.720344442, 430144.066616496, 432018.472970626, 432110.7175916, 435512.444725962, 435686.657323763, 437777.978679526, 437874.857377696, 438817.906461542, 439402.62646011, 439319.059712551, 439264.803847877, 439237.795176076, 439050.957844622, 438520.491160538, 428424.596915371, 427951.337340165, 427531.396076649, 427098.242145684, 427045.982376562, 427311.354756893, 427229.749466078, 
426884.811611887, 426780.67653011, 426786.611415849, 165125.434729869, 165511.111133982, 168315.637797477, 168842.758497911, 169286.216911901, 169384.963672721, 169472.45693853, 169649.116912964, 169886.149581598, 169905.758713542, 170318.168622131, 170359.585201122, 170617.025648256, 170612.558206756, 170748.657262038, 170836.496971511, 168256.204661953, 166539.483970311, 165825.799644127, 161056.690504268, 160887.24762691, 159445.574180411, 159377.026945218, 159345.711372811, 159314.445881999, 
159590.166649779, 161351.853744017, 163408.939671022, 164332.716444173, 164821.026015885, 165125.434729869))"
5001709325,50,017,09325,"Brookfield town, Orange County, Vermont",1244,412,33.11897106109325,"list(c(485984.065743363, 488501.963818197, 488565.645694314, 489230.768951025, 489654.315234582, 489661.358001249, 490889.285216005, 491567.95908168, 494457.128644267, 496938.328243263, 499174.961489004, 499174.399622345, 498967.450223173, 496062.408934908, 495407.864198492, 493616.931151524, 492654.355334712, 490621.35989474, 490107.431788248, 488988.684954787, 488512.668596781, 485336.051651293, 485984.065743363, 169492.152074038, 174982.662053457, 175121.550113637, 176572.641184426, 176410.964317018, 
176407.953295285, 175931.591122794, 175668.691068933, 174549.976738721, 173583.483260353, 162884.070852504, 162883.070953982, 162962.875258361, 164065.487691249, 164309.902283124, 164973.590708464, 165287.913997676, 166093.018293966, 166293.428631738, 166722.408488621, 166899.436304391, 168080.026608747, 169492.152074038))"
5002528900,50,025,28900,"Grafton town, Windham County, Vermont",645,187,28.992248062015502,"list(c(485285.597312959, 485675.556611536, 485681.819206065, 495108.763674459, 495493.324901304, 495389.925963237, 495382.53639788, 495352.437676037, 495322.589179544, 495306.383631688, 495223.485339863, 494992.931712407, 491544.238586067, 489641.63398369, 489614.009996751, 489815.160336698, 489514.313675988, 489265.789060713, 489068.080550395, 489035.215855705, 488642.950672704, 488756.990850408, 486088.516897259, 485201.28079008, 485285.597312959, 72062.8426863773, 80293.1078865014, 80450.6254846745, 
81632.6678569406, 81682.727200124, 80009.2876756077, 79297.1862225465, 76391.9094942875, 73529.3053409103, 71962.3660490366, 71947.5373593288, 71908.3763883505, 71326.6624337742, 71014.0097306469, 70770.8719511787, 70795.1197439391, 70113.8062871884, 70090.4193797524, 69892.6571398453, 69644.4202441221, 69608.2908911574, 70865.9928967447, 70426.4372857322, 70280.2197531867, 72062.8426863773))"
5000908725,50,009,08725,"Brighton town, Essex County, Vermont",1157,351,30.337078651685395,"list(c(544183.360124523, 544533.483583705, 545128.16260613, 545863.045503294, 549115.711536155, 549646.096894971, 550693.966937854, 552727.444926863, 558021.447747162, 557342.196099958, 555699.0574878, 555128.868728041, 554589.491412037, 554836.998584053, 552700.790595546, 550900.136950105, 548882.293392786, 544385.41645865, 541559.873548875, 544183.360124523, 257722.731202157, 258184.779305163, 258985.39495996, 259796.958649305, 264420.07001161, 264109.426350634, 263330.247787082, 261813.891072939, 
257945.528488888, 257036.366129913, 254840.396030134, 254149.801980472, 253498.196287938, 252894.077062089, 250198.211111445, 247610.639857667, 249059.155681265, 252290.464897143, 254248.691509965, 257722.731202157))"
5002172925,50,021,72925,"Tinmouth town, Rutland County, Vermont",553,106,19.168173598553345,"list(c(449711.296433719, 449743.202884024, 449881.445141361, 450492.165591493, 450804.002451432, 453179.013713345, 453061.930427935, 452642.239810004, 453787.435379606, 455453.388891213, 458498.059371249, 459129.017112843, 458966.330113093, 458945.645665935, 458359.707122153, 457737.600207708, 457735.213119965, 456533.104136996, 456590.390735899, 456132.838651146, 455129.94787429, 454491.286968754, 449707.529118231, 449711.296433719, 100614.842391757, 101277.4467631, 104142.667551508, 104110.715632571, 
104094.435446223, 108966.638209172, 109347.872632298, 110719.946459734, 110666.213502075, 110588.877929881, 110418.210677923, 110398.57452514, 105744.265511057, 105444.52741165, 105121.924626131, 100051.450072461, 100032.466707654, 100149.196534088, 100163.715736968, 100187.66985838, 100238.586922351, 100265.524407315, 100500.545282038, 100614.842391757))"
5002712250,50,027,12250,"Cavendish town, Windsor County, Vermont",1392,263,18.893678160919542,"list(c(486943.290248736, 486985.377789181, 487003.446543635, 490381.713798139, 493515.80478692, 497212.458338227, 497539.149358212, 497496.52438632, 497259.573829698, 497211.351620964, 496995.620502194, 496858.289621011, 496532.91633633, 493532.084777298, 491327.114500576, 489823.304841923, 486920.461536298, 486943.290248736, 98703.4666930722, 105946.603552082, 106334.856496835, 105849.136398211, 105398.781466905, 104869.749223007, 104822.9611938, 104263.379362018, 101887.770459525, 101407.074012993, 
99280.9988136628, 97866.1382336776, 97811.9712383487, 96445.6937898245, 94221.4661375428, 94326.2130136155, 94523.3971595486, 98703.4666930722))"
