necta,subdivision_name,fips_state,fips_county,fips_subdivision
Metropolitan NECTA,Everett city,25,017,21990
Metropolitan NECTA,Groton town,25,017,27480
Metropolitan NECTA,Lexington town,25,017,35215
Metropolitan NECTA,Lincoln town,25,017,35425
Metropolitan NECTA,Malden city,25,017,37875
Metropolitan NECTA,Maynard town,25,017,39625
Metropolitan NECTA,Medford city,25,017,39835
Metropolitan NECTA,Melrose city,25,017,40115
Metropolitan NECTA,Newton city,25,017,45560
Metropolitan NECTA,North Reading town,25,017,48955
Metropolitan NECTA,Reading town,25,017,56130
Metropolitan NECTA,Sherborn town,25,017,61380
Metropolitan NECTA,Shirley town,25,017,61590
Metropolitan NECTA,Somerville city,25,017,62535
Metropolitan NECTA,Stoneham town,25,017,67665
Metropolitan NECTA,Stow town,25,017,68050
Metropolitan NECTA,Sudbury town,25,017,68260
Metropolitan NECTA,Wakefield town,25,017,72215
Metropolitan NECTA,Waltham city,25,017,72600
Metropolitan NECTA,Watertown Town city,25,017,73440
Metropolitan NECTA,Wayland town,25,017,73790
Metropolitan NECTA,Weston town,25,017,77255
Metropolitan NECTA,Wilmington town,25,017,80230
Metropolitan NECTA,Winchester town,25,017,80510
Metropolitan NECTA,Woburn city,25,017,81035
Metropolitan NECTA,Braintree Town city,25,021,07740
Metropolitan NECTA,Brookline town,25,021,09175
Metropolitan NECTA,Canton town,25,021,11315
Metropolitan NECTA,Cohasset town,25,021,14640
Metropolitan NECTA,Dedham town,25,021,16495
Metropolitan NECTA,Dover town,25,021,17405
Metropolitan NECTA,Foxborough town,25,021,24820
Metropolitan NECTA,Franklin Town city,25,021,25172
Metropolitan NECTA,Holbrook town,25,021,30455
Metropolitan NECTA,Medfield town,25,021,39765
Metropolitan NECTA,Medway town,25,021,39975
Metropolitan NECTA,Millis town,25,021,41515
Metropolitan NECTA,Milton town,25,021,41690
Metropolitan NECTA,Needham town,25,021,44105
Metropolitan NECTA,Norfolk town,25,021,46050
Metropolitan NECTA,Norwood town,25,021,50250
Metropolitan NECTA,Quincy city,25,021,55745
Metropolitan NECTA,Randolph Town city,25,021,56000
Metropolitan NECTA,Sharon town,25,021,60785
Metropolitan NECTA,Stoughton town,25,021,67945
Metropolitan NECTA,Walpole town,25,021,72495
Metropolitan NECTA,Wellesley town,25,021,74175
Metropolitan NECTA,Westwood town,25,021,78690
Metropolitan NECTA,Weymouth Town city,25,021,78972
Metropolitan NECTA,Wrentham town,25,021,82315
Metropolitan NECTA,Hanover town,25,023,28285
Metropolitan NECTA,Hanson town,25,023,28495
Metropolitan NECTA,Hingham town,25,023,30210
Metropolitan NECTA,Hull town,25,023,31645
Metropolitan NECTA,Marshfield town,25,023,38855
Metropolitan NECTA,Norwell town,25,023,50145
Metropolitan NECTA,Rockland town,25,023,57775
Metropolitan NECTA,Scituate town,25,023,60330
Metropolitan NECTA,Whitman town,25,023,79530
Metropolitan NECTA,Boston city,25,025,07000
Metropolitan NECTA,Chelsea city,25,025,13205
Metropolitan NECTA,Revere city,25,025,56585
Metropolitan NECTA,Winthrop Town city,25,025,81005
Metropolitan NECTA,Bolton town,25,027,06365
Metropolitan NECTA,Harvard town,25,027,28950
Metropolitan NECTA,Easton town,25,005,20100
Metropolitan NECTA,Avon town,25,021,02935
Metropolitan NECTA,Abington town,25,023,00170
Metropolitan NECTA,Bridgewater Town city,25,023,08130
Metropolitan NECTA,Brockton city,25,023,09000
Metropolitan NECTA,East Bridgewater town,25,023,18455
Metropolitan NECTA,West Bridgewater town,25,023,75260
Metropolitan NECTA,Ashland town,25,017,02130
Metropolitan NECTA,Framingham city,25,017,24960
Metropolitan NECTA,Holliston town,25,017,30700
Metropolitan NECTA,Hopkinton town,25,017,31085
Metropolitan NECTA,Hudson town,25,017,31540
Metropolitan NECTA,Marlborough city,25,017,38715
Metropolitan NECTA,Natick town,25,017,43895
Metropolitan NECTA,Berlin town,25,027,05490
Metropolitan NECTA,Hopedale town,25,027,30945
Metropolitan NECTA,Mendon town,25,027,40255
Metropolitan NECTA,Milford town,25,027,41165
Metropolitan NECTA,Southborough town,25,027,63165
Metropolitan NECTA,Amesbury Town city,25,009,01260
Metropolitan NECTA,Boxford town,25,009,07420
Metropolitan NECTA,Georgetown town,25,009,25625
Metropolitan NECTA,Groveland town,25,009,27620
Metropolitan NECTA,Haverhill city,25,009,29405
Metropolitan NECTA,Merrimac town,25,009,40430
Metropolitan NECTA,Newbury town,25,009,45175
Metropolitan NECTA,Newburyport city,25,009,45245
Metropolitan NECTA,Rowley town,25,009,58405
Metropolitan NECTA,Salisbury town,25,009,59245
Metropolitan NECTA,West Newbury town,25,009,77150
Metropolitan NECTA,Atkinson town,33,015,02340
Metropolitan NECTA,Chester town,33,015,12100
Metropolitan NECTA,Danville town,33,015,17140
Metropolitan NECTA,East Kingston town,33,015,21380
Metropolitan NECTA,Fremont town,33,015,27940
Metropolitan NECTA,Hampstead town,33,015,32900
Metropolitan NECTA,Hampton Falls town,33,015,33460
Metropolitan NECTA,Kensington town,33,015,39780
Metropolitan NECTA,Kingston town,33,015,40100
Metropolitan NECTA,Newton town,33,015,52900
Metropolitan NECTA,Plaistow town,33,015,62500
Metropolitan NECTA,Sandown town,33,015,67620
Metropolitan NECTA,Seabrook town,33,015,68260
Metropolitan NECTA,South Hampton town,33,015,71140
Metropolitan NECTA,Lawrence city,25,009,34550
Metropolitan NECTA,Methuen Town city,25,009,40710
Metropolitan NECTA,North Andover town,25,009,46365
Metropolitan NECTA,Salem town,33,015,66660
Metropolitan NECTA,Billerica town,25,017,05805
Metropolitan NECTA,Chelmsford town,25,017,13135
Metropolitan NECTA,Dracut town,25,017,17475
Metropolitan NECTA,Dunstable town,25,017,17825
Metropolitan NECTA,Littleton town,25,017,35950
Metropolitan NECTA,Lowell city,25,017,37000
Metropolitan NECTA,Tewksbury town,25,017,69415
Metropolitan NECTA,Tyngsborough town,25,017,71025
Metropolitan NECTA,Westford town,25,017,76135
Metropolitan NECTA,Pelham town,33,011,59940
Metropolitan NECTA,Lynn city,25,009,37490
Metropolitan NECTA,Marblehead town,25,009,38400
Metropolitan NECTA,Nahant town,25,009,43580
Metropolitan NECTA,Salem city,25,009,59105
Metropolitan NECTA,Swampscott town,25,009,68645
Metropolitan NECTA,Pepperell town,25,017,52805
Metropolitan NECTA,Townsend town,25,017,70360
Metropolitan NECTA,Amherst town,33,011,01300
Metropolitan NECTA,Brookline town,33,011,08100
Metropolitan NECTA,Greenville town,33,011,31940
Metropolitan NECTA,Hollis town,33,011,37140
Metropolitan NECTA,Hudson town,33,011,37940
Metropolitan NECTA,Litchfield town,33,011,42260
Metropolitan NECTA,Lyndeborough town,33,011,44580
